high,high,not_present,severe,not_present,not_present,not_present,not_present,low,not_present,not_observed,not_present,not_present,not_present,not_present,severe,high,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,severe,not_present,not_present,not_present,low,not_present,55_59,seboreic_dermatitis
severe,severe,severe,high,low,not_present,not_present,not_present,low,low,observed,not_present,not_present,low,not_present,low,high,not_present,high,high,high,high,high,low,not_present,not_present,not_present,not_present,not_present,not_present,not_present,low,not_present,5_9,psoriasis
high,low,high,severe,low,severe,not_present,severe,not_present,not_present,not_observed,low,not_present,not_present,not_present,low,high,not_present,high,not_present,not_present,not_present,not_present,not_present,high,not_present,high,severe,high,not_present,not_present,high,severe,25_29,lichen_planus
high,high,high,not_present,not_present,not_present,not_present,not_present,severe,high,not_observed,not_present,not_present,severe,not_present,not_present,high,not_present,severe,high,high,high,high,not_present,not_present,severe,not_present,not_present,not_present,not_present,not_present,severe,not_present,40_44,psoriasis
high,severe,high,high,high,high,not_present,high,not_present,not_present,not_observed,low,not_present,not_present,not_present,low,high,not_present,not_present,not_present,not_present,not_present,not_present,not_present,high,high,severe,high,severe,not_present,not_present,high,severe,45_49,lichen_planus
high,severe,high,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_observed,not_present,high,low,not_present,high,high,not_present,high,not_present,not_present,not_present,low,not_present,not_present,not_present,not_present,high,not_present,not_present,not_present,low,not_present,40_44,seboreic_dermatitis
high,low,not_present,high,not_present,not_present,not_present,not_present,not_present,not_present,not_observed,not_present,not_present,not_present,severe,low,severe,not_present,not_present,not_present,high,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,high,not_present,15_19,cronic_dermatitis
high,high,severe,severe,severe,severe,not_present,high,not_present,not_present,not_observed,high,not_present,not_present,not_present,high,severe,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,high,high,severe,high,not_present,not_present,severe,severe,55_59,lichen_planus
high,high,low,not_present,high,not_present,not_present,not_present,not_present,not_present,not_observed,not_present,not_present,not_present,not_present,high,low,not_present,low,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,high,not_present,not_present,not_present,high,not_present,20_24,pityriasis_rosea
high,high,low,not_present,low,not_present,not_present,not_present,not_present,not_present,not_observed,not_present,not_present,not_present,not_present,severe,high,not_present,high,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,high,not_present,not_present,not_present,high,not_present,30_34,pityriasis_rosea
severe,severe,high,low,low,not_present,not_present,not_present,high,high,observed,not_present,not_present,not_present,not_present,not_present,severe,high,severe,high,high,high,low,low,not_present,not_present,not_present,not_present,not_present,not_present,not_present,low,not_present,20_24,psoriasis
high,high,not_present,severe,not_present,not_present,not_present,not_present,not_present,not_present,not_observed,not_present,not_present,high,not_present,high,high,not_present,not_present,not_present,not_present,not_present,low,not_present,not_present,not_present,not_present,severe,not_present,not_present,not_present,low,not_present,20_24,seboreic_dermatitis
severe,severe,low,high,not_present,not_present,not_present,not_present,not_present,low,not_observed,not_present,not_present,high,not_present,severe,low,not_present,low,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,high,not_present,not_present,not_present,low,not_present,20_24,seboreic_dermatitis
high,severe,severe,not_present,not_present,not_present,not_present,not_present,low,low,observed,not_present,not_present,low,not_present,not_present,high,low,high,low,high,severe,not_present,high,not_present,not_present,not_present,not_present,not_present,not_present,not_present,high,not_present,10_14,psoriasis
high,high,severe,severe,not_present,severe,not_present,high,not_present,not_present,not_observed,high,not_present,not_present,not_present,low,low,low,low,not_present,not_present,not_present,not_present,not_present,high,not_present,severe,not_present,severe,not_present,not_present,low,severe,65_69,lichen_planus
low,low,not_present,low,severe,not_present,not_present,not_present,not_present,not_present,not_observed,not_present,not_present,not_present,not_present,low,low,not_present,low,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,high,not_present,not_present,not_present,high,not_present,40_44,pityriasis_rosea
high,high,low,severe,not_present,not_present,not_present,not_present,not_present,not_present,not_observed,not_present,not_present,high,not_present,high,low,not_present,low,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,low,not_present,30_34,seboreic_dermatitis
severe,severe,severe,not_present,not_present,not_present,not_present,not_present,severe,severe,observed,not_present,not_present,high,not_present,not_present,high,not_present,high,severe,severe,severe,high,severe,not_present,severe,not_present,not_present,not_present,not_present,not_present,high,not_present,35_39,psoriasis
high,low,severe,severe,severe,severe,not_present,not_present,high,not_present,not_observed,severe,not_present,not_present,not_present,severe,high,not_present,low,not_present,not_present,not_present,not_present,not_present,severe,not_present,high,not_present,severe,not_present,not_present,high,severe,20_24,lichen_planus
low,low,not_present,severe,not_present,not_present,not_present,not_present,not_present,not_present,not_observed,not_present,not_present,not_present,severe,not_present,severe,high,high,not_present,severe,not_present,not_present,not_present,not_present,not_present,not_present,low,not_present,not_present,not_present,high,not_present,15_19,cronic_dermatitis
high,low,low,high,not_present,not_present,severe,not_present,low,high,not_observed,not_present,not_present,low,not_present,not_present,low,high,high,not_present,low,not_present,low,not_present,not_present,not_present,not_present,not_present,not_present,low,high,low,not_present,5_9,pityriasis_rubra_pilaris
severe,high,high,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_observed,not_present,not_present,high,not_present,high,high,low,high,not_present,high,low,high,not_present,not_present,not_present,not_present,severe,not_present,not_present,not_present,high,not_present,50_54,seboreic_dermatitis
high,high,not_present,high,not_present,not_present,not_present,not_present,not_present,not_present,not_observed,not_present,not_present,not_present,low,low,severe,low,high,not_present,high,low,not_present,not_present,not_present,not_present,not_present,low,not_present,low,not_present,high,not_present,40_44,cronic_dermatitis
high,high,high,severe,high,high,not_present,high,not_present,not_present,not_observed,severe,high,not_present,not_present,not_present,high,low,low,not_present,not_present,not_present,not_present,not_present,severe,not_present,severe,not_present,high,not_present,not_present,high,severe,40_44,lichen_planus
high,not_present,not_present,severe,not_present,not_present,not_present,not_present,not_present,not_present,not_observed,not_present,not_present,not_present,high,high,high,not_present,not_present,not_present,severe,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,high,not_present,20_24,cronic_dermatitis
high,low,low,not_present,low,not_present,not_present,not_present,high,not_present,not_observed,not_present,not_present,not_present,not_present,not_present,high,high,high,high,high,high,low,high,not_present,high,not_present,not_present,not_present,not_present,not_present,high,not_present,30_34,psoriasis
low,low,not_present,low,not_present,not_present,severe,not_present,low,not_present,not_observed,not_present,not_present,low,not_present,not_present,low,low,low,not_present,not_present,not_present,not_present,not_present,low,not_present,not_present,low,not_present,high,high,low,not_present,10_14,pityriasis_rubra_pilaris
low,high,high,severe,not_present,not_present,not_present,not_present,not_present,not_present,not_observed,not_present,not_present,not_present,low,low,high,low,low,not_present,severe,not_present,not_present,not_present,not_present,not_present,not_present,low,not_present,not_present,not_present,severe,not_present,15_19,cronic_dermatitis
severe,high,high,high,not_present,not_present,not_present,not_present,not_present,not_present,not_observed,not_present,not_present,high,not_present,severe,severe,severe,high,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,high,not_present,low,low,high,not_present,40_44,seboreic_dermatitis
low,low,high,severe,high,high,not_present,severe,not_present,not_present,not_observed,high,not_present,not_present,not_present,high,high,low,high,not_present,not_present,not_present,not_present,not_present,severe,not_present,severe,not_present,severe,low,not_present,high,severe,50_54,lichen_planus
severe,high,low,high,not_present,not_present,not_present,not_present,low,high,not_observed,not_present,not_present,low,not_present,not_present,high,not_present,severe,high,high,high,low,high,not_present,high,not_present,not_present,not_present,not_present,not_present,low,not_present,50_54,psoriasis
severe,high,not_present,high,not_present,not_present,not_present,not_present,not_present,not_present,not_observed,not_present,low,high,not_present,high,low,low,low,not_present,not_present,not_present,low,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,low,not_present,10_14,seboreic_dermatitis
high,severe,severe,severe,severe,not_present,not_present,not_present,severe,severe,not_observed,not_present,not_present,not_present,not_present,not_present,severe,high,high,severe,severe,severe,low,severe,not_present,not_present,not_present,not_present,not_present,not_present,not_present,low,not_present,30_34,psoriasis
high,high,low,not_present,not_present,not_present,not_present,not_present,low,not_present,observed,not_present,not_present,high,not_present,not_present,high,low,high,high,low,high,not_present,low,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,35_39,psoriasis
high,low,not_present,not_present,high,not_present,not_present,not_present,not_present,not_present,not_observed,not_present,not_present,not_present,not_present,high,low,low,low,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,35_39,pityriasis_rosea
high,high,low,high,not_present,not_present,not_present,not_present,not_present,not_present,not_observed,not_present,not_present,high,not_present,low,not_present,low,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,35_39,seboreic_dermatitis
high,low,high,severe,high,severe,not_present,high,not_present,not_present,observed,low,not_present,not_present,not_present,high,low,low,high,not_present,not_present,not_present,not_present,not_present,low,not_present,high,not_present,high,not_present,not_present,not_present,severe,35_39,lichen_planus
high,low,low,low,not_present,not_present,not_present,not_present,not_present,not_present,not_observed,not_present,not_present,low,not_present,severe,high,low,not_present,not_present,not_present,not_present,high,not_present,not_present,not_present,not_present,high,not_present,not_present,not_present,low,not_present,15_19,seboreic_dermatitis
high,low,high,severe,high,low,not_present,high,not_present,not_present,not_observed,not_present,not_present,not_present,not_present,high,high,high,low,not_present,not_present,not_present,not_present,not_present,high,not_present,low,not_present,severe,not_present,not_present,high,severe,25_29,lichen_planus
severe,severe,high,not_present,not_present,not_present,not_present,not_present,high,high,observed,not_present,not_present,low,not_present,not_present,high,high,severe,high,high,low,not_present,high,not_present,not_present,not_present,not_present,not_present,not_present,not_present,low,not_present,45_49,psoriasis
low,low,low,not_present,not_present,not_present,low,not_present,not_present,not_present,not_observed,not_present,low,low,not_present,high,low,low,low,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,severe,not_present,not_present,not_present,low,not_present,50_54,seboreic_dermatitis
low,low,low,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_observed,not_present,not_present,low,not_present,low,low,not_present,low,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,high,not_present,not_present,not_present,high,not_present,60_64,pityriasis_rosea
severe,high,low,low,not_present,not_present,not_present,not_present,high,low,not_observed,not_present,not_present,not_present,not_present,not_present,high,low,low,low,low,low,not_present,low,not_present,not_present,not_present,not_present,not_present,not_present,not_present,low,not_present,15_19,psoriasis
high,low,low,not_present,not_present,not_present,not_present,not_present,low,not_present,not_observed,not_present,not_present,low,not_present,low,low,not_present,low,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,high,not_present,not_present,not_present,high,not_present,35_39,seboreic_dermatitis
